countryId,title
Q30,United States
Q183,Germany
Q145,United Kingdom
Q142,France
Q38,Italy
Q29,Spain
Q31,Belgium
Q148,China
Q408,Australia
Q258,South Africa
Q16,Canada
Q17,Japan
Q39,Switzerland
Q40,Austria
Q96,Mexico
Q794,Iran
Q55,Netherlands
Q8646,Hong Kong
Q948,Tunisia
Q27,Ireland
Q786,Dominican Republic
Q668,India
Q36,Poland
Q224,Croatia
Q664,New Zealand
Q159,Russia
Q713750,West Germany
Q221,North Macedonia
Q22502,Taiwan
Q28,Hungary
Q241,Cuba
Q347,Liechtenstein
Q35,Denmark
Q45,Portugal
Q33,Finland
Q34,Sweden
Q414,Argentina
Q189,Iceland
Q884,South Korea
Q838261,Federal Republic of Yugoslavia
Q219,Bulgaria
Q213,Czechia
Q155,Brazil
Q801,Israel
Q41,Greece
Q1009,Cameroon
Q1041,Senegal
Q218,Romania
Q928,Philippines
Q881,Vietnam
Q20,Norway
Q298,Chile
Q232,Kazakhstan
Q262,Algeria
Q32,Luxembourg
Q419,Peru
Q230,Georgia
Q212,Ukraine
Q235,Monaco
Q1028,Morocco
Q963,Botswana
Q21203,Aruba
Q9676,Isle of Man
Q33946,Czechoslovakia
Q43,Turkey
Q822,Lebanon
Q36704,Yugoslavia
Q917,Bhutan
Q392864,Côte d’Ivoire
Q15180,Soviet Union
Q766,Jamaica
Q233,Malta
Q954,Zimbabwe
Q837,Nepal
Q790,Haiti
Q965,Burkina Faso
Q1030,Namibia
Q739,Colombia
Q869,Thailand
Q77,Uruguay
Q225,Bosnia & Herzegovina
Q215,Slovenia
Q878,United Arab Emirates
Q1016,Libya
Q25227,Netherlands Antilles
Q407199,Palestinian Territories
Q211,Latvia
Q108527339,East Germany
Q889,Afghanistan
Q334,Singapore
Q79,Egypt
Q863,Tajikistan
Q265,Uzbekistan
Q736,Ecuador
Q843,Pakistan
Q423,North Korea
Q817,Kuwait
Q17054,Martinique
Q117,Ghana
Q399,Armenia
Q711,Mongolia
Q750,Bolivia
Q796,Iraq
Q214,Slovakia
Q1183,Puerto Rico
Q717,Venezuela
Q114,Kenya
Q953,Zambia
Q1037,Rwanda
Q403,Serbia
Q657,Chad
Q37024,Serbia and Montenegro
Q733,Paraguay
Q191,Estonia
Q778,Bahamas
Q14773,Macao SAR China
Q222,Albania
Q1049,Sudan
Q833,Malaysia
Q912,Mali
Q774,Guatemala
Q37,Lithuania
Q424,Cambodia
Q810,Jordan
Q398,Bahrain
Q851,Saudi Arabia
Q5785,Cayman Islands
Q252,Indonesia
Q1014,Liberia
Q800,Costa Rica
Q184,Belarus
Q1025,Mauritania
Q229,Cyprus
Q902,Bangladesh
Q929,Central African Republic
Q3326984,Congo - Kinshasa
Q846,Qatar
Q3359409,Micronesia
Q1019,Madagascar
Q691,Papua New Guinea
Q1033,Nigeria
Q819,Laos
Q804,Panama
Q23635,Bermuda
Q115,Ethiopia
Q223,Greenland
Q754,Trinidad & Tobago
Q236,Montenegro
Q813,Kyrgyzstan
Q854,Sri Lanka
Q1029,Mozambique
Q1036,Uganda
Q1246,Kosovo
Q683,Samoa
Q811,Nicaragua
Q792,El Salvador
Q244,Barbados
Q971,Congo - Brazzaville
Q17012,Guadeloupe
Q858,Syria
Q916,Angola
Q921,Brunei
Q16635,Guam
Q4628,Faroe Islands
Q924,Tanzania
Q983,Equatorial Guinea
Q783,Honduras
Q686,Vanuatu
Q150,French
Q35942,Polynesia
Q227,Azerbaijan
Q712,Fiji
Q709,Marshall Islands
Q228,Andorra
Q836,Myanmar (Burma)
Q217,Moldova
Q805,Yemen
Q945,Togo
Q159583,Holy See (Vatican City State)
Q1007,Guinea-Bissau
Q1032,Niger
Q1011,Cape Verde
Q1020,Malawi
Q17070,Réunion
Q1006,Guinea
