countryId,IMDb_Id
Q30,tt0114709
Q30,tt0113497
Q30,tt0113228
Q30,tt0114885
Q30,tt0113041
Q30,tt0113277
Q183,tt0114319
Q30,tt0114319
Q30,tt0112302
Q30,tt0114576
Q145,tt0113189
Q30,tt0113189
Q30,tt0112346
Q142,tt0112896
Q30,tt0112896
Q30,tt0112453
Q145,tt0112453
Q30,tt0113987
Q30,tt0112760
Q38,tt0112760
Q183,tt0112760
Q142,tt0112760
Q30,tt0112641
Q142,tt0112641
Q30,tt0114388
Q145,tt0114388
Q30,tt0113101
Q30,tt0112281
Q30,tt0113845
Q30,tt0113161
Q30,tt0112722
Q142,tt0112401
Q30,tt0112401
Q30,tt0114168
Q30,tt0113627
Q30,tt0114057
Q145,tt0114057
Q30,tt0114011
Q145,tt0114117
Q30,tt0114117
Q142,tt0114117
Q142,tt0112682
Q183,tt0112682
Q29,tt0112682
Q31,tt0112682
Q30,tt0112682
Q142,tt0115012
Q148,tt0115012
Q30,tt0112792
Q30,tt0114746
Q142,tt0114952
Q30,tt0114952
Q408,tt0112431
Q30,tt0112431
Q145,tt0112431
Q145,tt0112637
Q142,tt0112637
Q145,tt0112818
Q30,tt0112818
Q30,tt0112286
Q30,tt0113442
Q30,tt0112697
Q258,tt0112749
Q30,tt0112749
Q145,tt0114279
Q30,tt0114279
Q30,tt0112819
Q30,tt0114272
Q145,tt0114272
Q30,tt0113855
Q30,tt0114681
Q145,tt0114681
Q16,tt0114681
Q30,tt0113347
Q30,tt0114369
Q30,tt0114148
Q17,tt0114148
Q16,tt0114916
Q30,tt0114814
Q183,tt0114814
Q30,tt0109950
Q30,tt0113819
Q38,tt0110299
Q142,tt0110299
Q39,tt0110299
Q40,tt0110299
Q30,tt0112499
Q142,tt0113158
Q30,tt0113158
Q30,tt0113541
Q16,tt0113541
Q30,tt0113321
Q38,tt0110877
Q142,tt0110877
Q31,tt0110877
Q16,tt0112714
Q145,tt0112714
Q142,tt0112714
Q30,tt0113419
Q30,tt0116260
Q30,tt0113862
Q30,tt0116126
Q30,tt0118002
Q30,tt0115683
Q30,tt0116839
Q17,tt0116839
Q145,tt0116839
Q30,tt0114753
Q142,tt0113149
Q30,tt0113118
Q30,tt0116367
Q96,tt0116367
Q30,tt0113010
Q30,tt0113537
Q142,tt0113828
Q30,tt0115644
Q30,tt0115676
Q16,tt0114367
Q17,tt0114367
Q183,tt0113973
Q30,tt0113973
Q30,tt0112744
Q30,tt0116731
Q794,tt0112445
Q30,tt0114660
Q55,tt0112379
Q31,tt0112379
Q145,tt0112379
Q142,tt0112379
Q30,tt0114039
Q30,tt0113612
Q145,tt0112365
Q30,tt0112365
Q30,tt0118158
Q145,tt0118158
Q30,tt0116151
Q30,tt0115697
Q30,tt0113972
Q30,tt0113490
Q30,tt0117002
Q145,tt0117002
Q30,tt0114825
Q30,tt0115639
Q30,tt0115759
Q145,tt0113403
Q142,tt0113247
Q145,tt0111173
Q17,tt0111173
Q30,tt0115907
Q30,tt0115734
Q30,tt0117102
Q30,tt0118040
Q30,tt0116483
Q30,tt0112579
Q183,tt0110251
Q30,tt0117110
Q145,tt0117110
Q30,tt0113276
Q30,tt0112573
Q30,tt075314
Q8646,tt0113326
Q30,tt0115645
Q16,tt0113774
Q145,tt0113774
Q142,tt0112556
Q145,tt0112373
Q30,tt0112373
Q55,tt0112373
Q145,tt0115033
Q183,tt0115033
Q142,tt0115033
Q30,tt0116606
Q30,tt0114536
Q30,tt0117427
Q16,tt0106473
Q30,tt0103859
Q8646,tt0109424
Q38,tt0114808
Q30,tt0116324
Q183,tt0110647
Q30,tt0110647
Q948,tt0111055
Q142,tt0111055
Q30,tt0110217
Q30,tt0114131
Q30,tt0112364
Q27,tt0113107
Q145,tt0113107
Q142,tt0113107
Q30,tt0113107
Q30,tt0113451
Q786,tt0114015
Q30,tt0116130
Q30,tt0113125
Q30,tt0113756
Q145,tt0113756
Q145,tt0113952
Q29,tt0113952
Q668,tt0114618
Q30,tt0118055
Q30,tt0115685
Q36,tt094878
Q224,tt0113200
Q16,tt0113200
Q30,tt0113200
Q30,tt0112585
Q30,tt0112442
Q30,tt0112342
Q30,tt0112461
Q145,tt0112427
Q30,tt0109093
Q145,tt0109093
Q142,tt0109093
Q30,tt0112384
Q145,tt0112384
Q16,tt0112384
Q17,tt0112384
Q145,tt0114287
Q30,tt0114287
Q30,tt0112288
Q30,tt0112462
Q145,tt0112462
Q142,tt061395
Q38,tt061395
Q145,tt0112495
Q30,tt0112495
Q30,tt0112541
Q30,tt0109370
Q16,tt0109370
Q30,tt0112642
Q30,tt0112688
Q30,tt0112715
Q30,tt0112740
Q30,tt0112851
Q96,tt0112851
Q30,tt0112857
Q30,tt0112864
Q30,tt0112887
Q142,tt0112887
Q145,tt0113044
Q30,tt0113044
Q30,tt0113071
Q145,tt0113071
Q142,tt0113114
Q30,tt0113114
Q30,tt0113243
Q30,tt0113464
Q16,tt0113481
Q30,tt0113481
Q30,tt0113492
Q55,tt0113492
Q145,tt0113492
Q30,tt0113500
Q30,tt0113540
Q30,tt0113677
Q30,tt0113690
Q145,tt0113690
Q16,tt0107447
Q30,tt0113729
Q30,tt0113749
Q30,tt0113820
Q17,tt0113820
Q408,tt0113820
Q664,tt0113820
Q145,tt0113851
Q30,tt0113851
Q16,tt0113851
Q145,tt0110604
Q159,tt0110604
Q183,tt0110604
Q30,tt0110620
Q30,tt0113957
Q30,tt0113986
Q30,tt0114095
Q30,tt0114194
Q30,tt0114241
Q30,tt0114323
Q145,tt0114323
Q30,tt0114345
Q142,tt0114436
Q30,tt0114436
Q183,tt0114478
Q17,tt0114478
Q30,tt0114478
Q30,tt0114496
Q30,tt0114508
Q30,tt0114534
Q30,tt0114558
Q142,tt058450
Q713750,tt058450
Q30,tt0114666
Q30,tt0114663
Q145,tt0114702
Q142,tt0114702
Q31,tt0114702
Q30,tt0114682
Q30,tt0114781
Q30,tt0114798
Q30,tt0114887
Q96,tt0114887
Q30,tt0114898
Q142,tt0114928
Q30,tt0114928
Q30,tt0114938
Q145,tt0109340
Q30,tt0112602
Q159,tt0111579
Q142,tt0111579
Q145,tt0110882
Q142,tt0110882
Q221,tt0110882
Q30,tt0112471
Q40,tt0112471
Q30,tt0112508
Q30,tt0112438
Q30,tt0112571
Q142,tt0112571
Q30,tt0112757
Q30,tt0112643
Q38,tt0112643
Q27,tt0112679
Q30,tt0112679
Q145,tt0112679
Q30,tt0109445
Q30,tt0109635
Q16,tt0112899
Q30,tt0112899
Q30,tt0109676
Q30,tt0112854
Q145,tt0109579
Q142,tt0109579
Q30,tt0109642
Q30,tt0109686
Q22502,tt0111797
Q30,tt0111797
Q16,tt0109759
Q30,tt0109758
Q30,tt0109707
Q145,tt0113117
Q30,tt0113117
Q142,tt0113117
Q30,tt0113097
Q30,tt0113028
Q30,tt0113198
Q408,tt0113198
Q142,tt0113198
Q16,tt0113198
Q29,tt0113198
Q30,tt0113303
Q16,tt0113303
Q30,tt0113089
Q142,tt0109771
Q38,tt0109771
Q31,tt0109771
Q145,tt0109771
Q30,tt0113199
Q30,tt0113234
Q142,tt0109906
Q30,tt0109906
Q664,tt0110005
Q183,tt0110005
Q30,tt0110066
Q145,tt0110116
Q30,tt0110116
Q30,tt0110006
Q30,tt0113360
Q30,tt0110099
Q30,tt0110148
Q30,tt0113463
Q142,tt0113463
Q30,tt0110189
Q30,tt0110216
Q30,tt0113501
Q145,tt0113538
Q28,tt0113538
Q30,tt0113538
Q30,tt0113552
Q30,tt076759
Q30,tt0110367
Q16,tt0110367
Q30,tt0113670
Q145,tt0110296
Q142,tt0109731
Q96,tt0103994
Q30,tt0110322
Q30,tt0110443
Q30,tt0110365
Q30,tt0107566
Q145,tt0107566
Q30,tt0110391
Q30,tt0113691
Q145,tt0110428
Q30,tt0110428
Q30,tt0109836
Q17,tt0109836
Q145,tt0109836
Q30,tt0113755
Q30,tt0110538
Q30,tt0110516
Q30,tt0110527
Q30,tt0113808
Q30,tt0113896
Q30,tt0113870
Q142,tt0113870
Q30,tt0110684
Q30,tt0110638
Q30,tt0113967
Q17,tt0117169
Q30,tt0117169
Q145,tt0106402
Q30,tt0113948
Q30,tt0110671
Q30,tt0110632
Q30,tt0110737
Q38,tt0110737
Q664,tt0110729
Q30,tt0114069
Q30,tt0114113
Q30,tt0114210
Q30,tt0110912
Q145,tt0114084
Q30,tt0114084
Q22502,tt0105652
Q30,tt0105652
Q145,tt0110889
Q30,tt0110932
Q17,tt0114129
Q30,tt0114129
Q142,tt0110963
Q183,tt0110963
Q38,tt0110963
Q30,tt0114214
Q17,tt0114214
Q30,tt0114296
Q30,tt0110907
Q142,tt0111495
Q39,tt0111495
Q36,tt0111495
Q142,tt0108394
Q36,tt0108394
Q39,tt0108394
Q39,tt0111507
Q142,tt0111507
Q36,tt0111507
Q148,tt0110769
Q8646,tt0110769
Q16,tt0114268
Q30,tt0114268
Q16,tt0110965
Q183,tt0114571
Q30,tt0114571
Q30,tt0111333
Q30,tt0111112
Q27,tt0111112
Q30,tt0111255
Q30,tt0111282
Q142,tt0111282
Q30,tt0111070
Q16,tt0111070
Q30,tt0111161
Q145,tt0111149
Q30,tt0108260
Q96,tt0106966
Q241,tt0106966
Q29,tt0106966
Q30,tt0114594
Q408,tt0111309
Q16,tt0113936
Q30,tt0113936
Q8646,tt0110081
Q148,tt0110081
Q30,tt0114614
Q145,tt0114614
Q30,tt0114608
Q30,tt0111280
Q30,tt0114609
Q145,tt0111454
Q30,tt0114852
Q30,tt0114694
Q16,tt0114694
Q30,tt0111590
Q30,tt0114788
Q30,tt0114888
Q30,tt0108550
Q30,tt0114857
Q30,tt0114924
Q30,tt0111667
Q16,tt0109655
Q408,tt0110598
Q142,tt0110598
Q30,tt0112435
Q30,tt0109040
Q408,tt0109045
Q145,tt0106339
Q183,tt0106339
Q145,tt0104779
Q142,tt0104779
Q30,tt0109348
Q30,tt0109444
Q30,tt0109446
Q30,tt0109484
Q30,tt0109504
Q30,tt0109506
Q30,tt0109450
Q30,tt0109813
Q30,tt0109830
Q145,tt0109831
Q30,tt0113305
Q30,tt0110091
Q30,tt0110093
Q30,tt0110167
Q30,tt0110213
Q183,tt0107472
Q31,tt0107472
Q145,tt0107472
Q142,tt0107472
Q30,tt0110357
Q142,tt0107426
Q347,tt0107426
Q145,tt0107426
Q30,tt0111686
Q30,tt0110475
Q30,tt0110478
Q30,tt0110588
Q16,tt0110588
Q30,tt0110622
Q30,tt0110771
Q30,tt0110950
Q30,tt0105226
Q30,tt0110989
Q30,tt0111054
Q30,tt0110997
Q30,tt0111257
Q30,tt0111256
