genreId,IMDb_Id
Q319221,tt0114709
Q202866,tt0114709
Q2143665,tt0114709
Q157443,tt0114709
Q157394,tt0114709
Q319221,tt0113497
Q2143665,tt0113497
Q157394,tt0113497
Q157443,tt0113228
Q1054574,tt0113228
Q157443,tt0114885
Q130232,tt0114885
Q1054574,tt0114885
Q157443,tt0113041
Q188473,tt0113277
Q959790,tt0113277
Q2484376,tt0113277
Q157443,tt0114319
Q1054574,tt0114319
Q319221,tt0112302
Q2143665,tt0112302
Q188473,tt0114576
Q188473,tt0113189
Q319221,tt0113189
Q2484376,tt0113189
Q157443,tt0112346
Q130232,tt0112346
Q1054574,tt0112346
Q157443,tt0112896
Q200092,tt0112896
Q319221,tt0112453
Q202866,tt0112453
Q2143665,tt0112453
Q130232,tt0113987
Q188473,tt0112760
Q319221,tt0112760
Q1054574,tt0112760
Q959790,tt0112641
Q130232,tt0112641
Q130232,tt0114388
Q1054574,tt0114388
Q157443,tt0113101
Q157443,tt0112281
Q188473,tt0113845
Q157443,tt0113845
Q959790,tt0113845
Q130232,tt0113845
Q2484376,tt0113845
Q157443,tt0113161
Q959790,tt0113161
Q2484376,tt0113161
Q959790,tt0112722
Q130232,tt0112722
Q200092,tt0112722
Q1200678,tt0112722
Q2484376,tt0112722
Q188473,tt0112401
Q959790,tt0112401
Q2484376,tt0112401
Q130232,tt0114168
Q471839,tt0114168
Q130232,tt0113627
Q1054574,tt0113627
Q130232,tt0114057
Q2143665,tt0114011
Q130232,tt0114011
Q130232,tt0114117
Q1054574,tt0114117
Q319221,tt0112682
Q130232,tt0112682
Q157394,tt0112682
Q1200678,tt0112682
Q471839,tt0112682
Q959790,tt0115012
Q130232,tt0115012
Q130232,tt0112792
Q1200678,tt0114746
Q471839,tt0114746
Q2484376,tt0114746
Q319221,tt0114952
Q1054574,tt0114952
Q8530121,tt0114952
Q2143665,tt0112431
Q130232,tt0112431
Q130232,tt0112637
Q1054574,tt0112637
Q959790,tt0112818
Q130232,tt0112818
Q93204,tt0112286
Q8530121,tt0112286
Q2143665,tt0113442
Q157443,tt0113442
Q157443,tt0112697
Q1054574,tt0112697
Q130232,tt0112749
Q130232,tt0114279
Q369747,tt0114279
Q188473,tt0112819
Q959790,tt0112819
Q130232,tt0112819
Q130232,tt0114272
Q188473,tt0113855
Q319221,tt0113855
Q157394,tt0113855
Q157443,tt0114681
Q130232,tt0114681
Q2484376,tt0114681
Q130232,tt0113347
Q1054574,tt0113347
Q1200678,tt0114369
Q2484376,tt0114369
Q202866,tt0114148
Q2143665,tt0114148
Q130232,tt0114148
Q842256,tt0114148
Q1054574,tt0114148
Q130232,tt0114916
Q1054574,tt0114916
Q959790,tt0114814
Q1200678,tt0114814
Q2484376,tt0114814
Q188473,tt0109950
Q130232,tt0109950
Q2484376,tt0109950
Q157443,tt0113819
Q130232,tt0113819
Q1054574,tt0113819
Q319221,tt0110299
Q130232,tt0110299
Q2143665,tt0112499
Q157443,tt0112499
Q130232,tt0113158
Q319221,tt0113541
Q2143665,tt0113541
Q157443,tt0113541
Q157394,tt0113541
Q130232,tt0113321
Q157443,tt0110877
Q130232,tt0110877
Q1054574,tt0110877
Q130232,tt0112714
Q1200678,tt0112714
Q319221,tt0113419
Q2143665,tt0113419
Q157394,tt0113419
Q130232,tt0116260
Q2484376,tt0116260
Q130232,tt0113862
Q157443,tt0116126
Q959790,tt0116126
Q157443,tt0118002
Q1054574,tt0118002
Q157443,tt0115683
Q188473,tt0116839
Q471839,tt0116839
Q2484376,tt0116839
Q130232,tt0114753
Q157443,tt0113149
Q1054574,tt0113149
Q157443,tt0113118
Q188473,tt0116367
Q157443,tt0116367
Q200092,tt0116367
Q2484376,tt0116367
Q188473,tt0113010
Q157443,tt0113537
Q130232,tt0113537
Q130232,tt0113828
Q369747,tt0113828
Q130232,tt0115644
Q1054574,tt0115644
Q157443,tt0115676
Q130232,tt0115676
Q188473,tt0114367
Q471839,tt0114367
Q2484376,tt0114367
Q93204,tt0113973
Q188473,tt0112744
Q959790,tt0112744
Q130232,tt0112744
Q2484376,tt0112744
Q130232,tt0116731
Q2484376,tt0116731
Q2143665,tt0112445
Q130232,tt0112445
Q959790,tt0114660
Q130232,tt0114660
Q1054574,tt0114660
Q157443,tt0112379
Q130232,tt0112379
Q130232,tt0114039
Q1054574,tt0114039
Q157443,tt0113612
Q130232,tt0113612
Q130232,tt0112365
Q1054574,tt0112365
Q188473,tt0118158
Q319221,tt0118158
Q130232,tt0118158
Q2143665,tt0116151
Q157443,tt0116151
Q157443,tt0115697
Q188473,tt0113972
Q2484376,tt0113972
Q130232,tt0113490
Q130232,tt0117002
Q200092,tt0117002
Q2484376,tt0117002
Q157443,tt0114825
Q200092,tt0114825
Q1054574,tt0114825
Q157443,tt0115639
Q130232,tt0115639
Q1054574,tt0115639
Q188473,tt0115759
Q319221,tt0115759
Q2484376,tt0115759
Q157443,tt0113403
Q130232,tt0113403
Q959790,tt0113247
Q130232,tt0113247
